State, County, FIPS, Total,,Commercial,Industrial,Residential,Electricity Prod,Onroad,Cement,Aircraft,Airborne,Nonroad,,,,,,,,,,,,,,
AL,Autauga,1001,0.256166625388526,,0.00300071121333123,0.00443380066292133,0.0101484992067463,0.155508352369774,0.0747607067233122,0,0.000975809808469765,0.00245287925069025,0.00488586615328064,,,,,,,,,,,,,,
AL,Baldwin,1003,0.450031262254757,,0.0153481793302058,0.0118836768205233,0.0319484613755457,0,0.278708930704125,0,0.0178420966678323,0.0448494056305251,0.0494505117259997,,,,,,,,,,,,,,
AL,Barbour,1005,0.0993703333926764,,0.00190457597823639,0.00855545592743465,0.00628352685241874,0,0.0571425407936415,0,0.00546896056817587,0.0137472402887598,0.00626803298400948,,,,,,,,,,,,,,
AL,Bibb,1007,0.045945071215438,,0.000768770071283684,0.00162206237730916,0.00461439112314501,0,0.0357456931023524,0,0.000380259866221236,0.000955853090527064,0.00185804158459944,,,,,,,,,,,,,,
AL,Blount,1009,0.114776251754108,,0.00195141056111828,0.0090594505427675,0.0111621149757411,0,0.0874007285464796,0,0.000298024107461867,0.000749139217575748,0.00415538380296373,,,,,,,,,,,,,,
AL,Bullock,1011,0.031340058698003,,0.000482451440017386,0.00349698356479421,0.00266605585166887,0,0.0233105742961336,0,0,0,0.0013839935453889,,,,,,,,,,,,,,
AL,Butler,1013,0.0980097102734903,,0.00165397904683057,0.00321128703070683,0.00505476420755492,0,0.0826682596014914,0,0.00053085195189937,0.00133439413677614,0.00355617429823111,,,,,,,,,,,,,,
AL,Calhoun,1015,0.466962818551255,,0.0125765953721795,0.0462808414550148,0.0274276599575468,0,0.347098998531427,0,0.00505018872790048,0.0126945814741832,0.0158339530330028,,,,,,,,,,,,,,
AL,Chambers,1017,0.0844473027531099,,0.00243052843365049,0.0112090587487138,0.00856015203481085,0,0.0570280162501662,0,0.000354645934154582,0.000891469341164666,0.00397343201044934,,,,,,,,,,,,,,
AL,Cherokee,1019,0.062065659108017,,0.000858243344690131,0.00176353246434353,0.00515992342568588,0,0.044732127544522,0,0.000579423708124565,0.00145648873556579,0.0075159198850851,,,,,,,,,,,,,,
AL,Chilton,1021,0.172527288544918,,0.00193918000605966,0.0537665029846924,0.00885264668961767,0,0.0948279768033506,0,0.00256841813649853,0.00645619441101552,0.00411636951368349,,,,,,,,,,,,,,
AL,Choctaw,1023,0.0583739084622593,,0.000686135223975783,0.0199901594562046,0.00364867462308059,0,0.0284192350277601,0,0.000206126183835328,0.000518136519865002,0.00490544142753789,,,,,,,,,,,,,,
AL,Clarke,1025,0.0779813286315829,,0.00207411026717762,0.0155397973024328,0.00676433284072072,0.000668431317532675,0.0451976879243049,0,0.000433938559928423,0.0010907846141893,0.00621224580529648,,,,,,,,,,,,,,
AL,Clay,1027,0.0383425552666857,,0.000665156536706887,0.00503667967721409,0.00329563440118148,0,0.0258405361197531,0,0.000317913801536821,0.000799137292079856,0.00238749743821348,,,,,,,,,,,,,,
AL,Cleburne,1029,0.0694920412995007,,0.000367815290588432,0.00301363947214598,0.00339755429701254,0,0.0613862267720153,0,0,0,0.00132680546773842,,,,,,,,,,,,,,
AL,Coffee,1031,0.13146227792671,,0.00364682344836287,0.0106465617358274,0.0099251011603368,0,0.0694332553974177,0,0.0088732205016551,0.0223044777789547,0.00663283790415526,,,,,,,,,,,,,,
AL,Colbert,1033,1.97078549667765,,0.00665772709672551,0.0351096965523319,0.0123904970519538,1.79322945173484,0.0922305805369893,0,0.00527056679704082,0.0132485427936921,0.0126484341140803,,,,,,,,,,,,,,
AL,Conecuh,1035,0.185170540147441,,0.000675462577402069,0.00163641977187544,0.00322421997221768,0.000284438858524542,0.0625314382245097,0,0.0324507364141358,0.0815709226666191,0.00279690166215647,,,,,,,,,,,,,,
AL,Coosa,1037,0.0459583905922611,,0.000209282950273393,0.00879796096573474,0.00275700891427146,0,0.0315228603462649,0,0,0,0.00267127741571657,,,,,,,,,,,,,,
AL,Covington,1039,0.372086994439085,,0.00300259376308071,0.00664148077473055,0.00884332466432001,0.212470610242291,0.0671596753510334,0,0.0193314183246388,0.0485930927684407,0.00604479855054964,,,,,,,,,,,,,,
AL,Crenshaw,1041,0.0360719857822963,,0.000740092526277634,0.000963224588487513,0.00320322828277934,0,0.0286766527191011,0,0,0,0.00248878766565072,,,,,,,,,,,,,,
AL,Cullman,1043,0.210965682522569,,0.00645565355897013,0.0138762637942589,0.0178340713790289,0.00487165810818061,0.142594870140833,0,0.00407861152062157,0.010252339923396,0.0110022140972799,,,,,,,,,,,,,,
AL,Dale,1045,0.274560136935781,,0.0055607853983239,0.0186687109108291,0.0115640731566818,0.00000149704662671742,0.148013372766724,0,0.0245341757508807,0.0616711801388145,0.00454634176690025,,,,,,,,,,,,,,
AL,Dallas,1047,0.108072549660814,,0.00439593559488611,0.0112387649624644,0.010980336358721,0,0.0581798639698222,0,0.00475068234859204,0.0119417164066506,0.00658525001967771,,,,,,,,,,,,,,
AL,DeKalb,1049,0.182911564469342,,0.00493591033741756,0.0246555994374644,0.0139253491883804,0,0.122515291573155,0,0.00176817617071217,0.00444463810595183,0.010666599656261,,,,,,,,,,,,,,
AL,Elmore,1051,0.14869250770457,,0.00309092244296157,0.0167781832408891,0.0149359308819371,0,0.088697223704029,0,0.00422988106412035,0.0106325890196244,0.0103277773510081,,,,,,,,,,,,,,
AL,Escambia,1053,0.316568999729365,,0.00313832907127117,0.0748025741310246,0.00864157608379432,0.0000141725854857767,0.0845820852662685,0,0.0400010835678573,0.100550110328504,0.00483906869515929,,,,,,,,,,,,,,
AL,Etowah,1055,0.422519919247446,,0.0107927683574731,0.0161431418203776,0.0243427637688694,0.183977220209877,0.168522653687085,0,0.00279907967435225,0.0070360021552707,0.00890628957414116,,,,,,,,,,,,,,
AL,Fayette,1057,0.0505685785143669,,0.00134843546295996,0.00359753411957813,0.00426140708389212,0,0.0333940641627318,0,0.00164256802743789,0.00412889665908102,0.00219567299868594,,,,,,,,,,,,,,
AL,Franklin,1059,0.0974004224865142,,0.00194438211745575,0.0103797092062089,0.00699747822326294,0,0.0662900946611847,0,0.00216046006432408,0.00543071394617921,0.00419758426789865,,,,,,,,,,,,,,
AL,Geneva,1061,0.0587639488761689,,0.00122568584996818,0.00276476779138635,0.00588456742368514,0,0.04032811218776,0,0.0010633808737294,0.00267300529850895,0.00482442945113088,,,,,,,,,,,,,,
AL,Greene,1063,1.07910428955134,,0.00044702129915373,0.00061553774385291,0.00229544501095723,1.02124021165342,0.0515713498649079,0,0,0,0.00293472397904684,,,,,,,,,,,,,,
AL,Hale,1065,0.0568994251403689,,0.000584041094332857,0.0178671221731774,0.00396991084874813,0,0.0303922711598314,0,0.0002241622249209,0.000563475069415833,0.00329844256994234,,,,,,,,,,,,,,
AL,Henry,1067,0.0673140809563406,,0.000967077766323602,0.00299457109807905,0.00371995419421704,0,0.0400653147864453,0,0.00440434816741943,0.0110711374902802,0.00409167745357595,,,,,,,,,,,,,,
AL,Houston,1069,0.22450999370911,,0.0158398330834579,0.0195619912074395,0.0202844525772301,0,0.155723472042874,0,0,0,0.0131002447981083,,,,,,,,,,,,,,
AL,Jackson,1071,3.06214729629707,,0.00295487406430817,0.229866028484813,0.0121626884481463,2.69073746069044,0.11203366118532,0,0.000831375608135898,0.00208981685428926,0.0114713909616145,,,,,,,,,,,,,,
AL,Jefferson,1073,7.5207504208144,,0.1606579428065,0.921725191350455,0.154653329542887,4.86468361751194,1.10849121595757,0.0830614645310745,0.0379750637623495,0.0954573292039266,0.0940452661476974,,,,,,,,,,,,,,
AL,Lamar,1075,0.0430593403752333,,0.00071555894911372,0.00485138553856811,0.00377059586383332,0,0.0312891715533837,0,0,0,0.00243262847033447,,,,,,,,,,,,,,
AL,Lauderdale,1077,0.181586492402426,,0.0106186093492376,0.0140778945726128,0.0198646601818137,0,0.123030846294259,0,0,0,0.0139944820045034,,,,,,,,,,,,,,
AL,Lawrence,1079,0.0869710266964575,,0.0011953182970028,0.00440349533033148,0.00797507213873815,0,0.061490492642066,0,0.00142156586641114,0.00357336888958625,0.00691171353232166,,,,,,,,,,,,,,
AL,Lee,1081,0.416117787309718,,0.0101195674223343,0.0267663650303539,0.0240279717308715,0.160853161297672,0.153387125456298,0,0.00709790334002277,0.0178418918731731,0.016023801158992,,,,,,,,,,,,,,
AL,Limestone,1083,0.260223351271177,,0.00437151059353673,0.0134218981957027,0.0148702569638864,0,0.132455801469769,0,0.0198296506449396,0.0498454916560263,0.0254287417473158,,,,,,,,,,,,,,
AL,Lowndes,1085,0.147278544833733,,0.000316889935841752,0.00236010776995338,0.00306275884455844,0.0859075625596168,0.0525667484473812,0,0,0,0.00306447727638146,,,,,,,,,,,,,,
AL,Macon,1087,0.0938615362578661,,0.00272859157711602,0.0000837324095387768,0.00540529249863729,0,0.0760073680075088,0,0.00209668977619962,0.0052704183227689,0.00226944366609675,,,,,,,,,,,,,,
AL,Madison,1089,0.684463158620678,,0.0473910401853427,0.0524331343878195,0.0660036353480339,0,0.40321572016814,0,0.0216867219851506,0.05451358340972,0.0392193231364711,,,,,,,,,,,,,,
AL,Marengo,1091,0.237252363539231,,0.00152259732746259,0.0808868346605689,0.00545381277883505,0,0.0426441511949719,0.0989545101143401,0.000574068527907305,0.00144302788569921,0.00577336104944599,,,,,,,,,,,,,,
AL,Marion,1093,0.114641295538676,,0.00221558906084905,0.012020153345703,0.00717559985133609,0,0.0808911501529967,0,0.00234039104563012,0.00588300646669636,0.00411540561546499,,,,,,,,,,,,,,
AL,Marshall,1095,0.206137924606921,,0.00817939770077531,0.0462507171780425,0.0189620153019763,0,0.103376059912204,0,0.00373068461834846,0.00937776080706598,0.0162612890885088,,,,,,,,,,,,,,
AL,Mobile,1097,5.40062490964374,,0.0569061553220409,0.491468323207594,0.0939829877062332,3.88671686354589,0.509090706059942,0.167863043560199,0.041836335068724,0.105163354207799,0.0475971409653143,,,,,,,,,,,,,,
AL,Monroe,1099,0.0733667602069751,,0.00230062340057756,0.0159600960943695,0.00563333996158887,0,0.0362539979185518,0,0.00230189644320756,0.00578624499265638,0.00513056139602348,,,,,,,,,,,,,,
AL,Montgomery,1101,0.570772833433325,,0.0418387938734389,0.0223803454456896,0.0507521957451662,0,0.371380791800201,0,0.0152082193347443,0.0382286675961615,0.0309838196379231,,,,,,,,,,,,,,
AL,Morgan,1103,0.632854898887378,,0.019810392437021,0.304906508949014,0.025840550577647,0.0863897843243874,0.17440011047388,0,0.00164192388311291,0.00412727710909682,0.0157383511332191,,,,,,,,,,,,,,
AL,Perry,1105,0.0316443146223418,,0.000601636607829006,0.00220830877179073,0.00296381704495741,0,0.023122275567641,0,0.000222229791947493,0.000558616419463873,0.00196743041871225,,,,,,,,,,,,,,
AL,Pickens,1107,0.056018521129537,,0.000898472636969357,0.00318512999490204,0.00496041192630137,0,0.040312234369433,0,0.000951830596815,0.00239260190128792,0.00331783970382827,,,,,,,,,,,,,,
AL,Pike,1109,0.120431400424364,,0.00251776436658571,0.00549745678085896,0.00669617285446869,0,0.0605879309474504,0,0.0114725120277466,0.0288382778392063,0.00482128560804693,,,,,,,,,,,,,,
AL,Randolph,1111,0.10281851425335,,0.00107267059325963,0.0626522904923627,0.00476419839006812,0,0.0302148473264891,0,0.000334525619182774,0.000840891591666243,0.00293909024032128,,,,,,,,,,,,,,
AL,Russell,1113,0.151921479970997,,0.00332076004246354,0.0406333815100336,0.0117839574409926,0,0.0915557696691466,0,0,0,0.00462761130836036,,,,,,,,,,,,,,
AL,St. Clair,1115,0.315158015563893,,0.00351813850475815,0.00659045789236974,0.0150260299883095,0,0.161736290259127,0.105218922258188,0.00385557255386616,0.00969169685394704,0.00952090725332686,,,,,,,,,,,,,,
AL,Shelby,1117,3.7811355797439,,0.0185793446135794,0.0120574762684045,0.0344412095495329,3.28332557997371,0.211988235545581,0.170183196178773,0.00226698940404788,0.00569849724352544,0.0425950509667431,,,,,,,,,,,,,,
AL,Sumter,1119,0.0691766149979781,,0.00082395770171675,0.00254485035628096,0.00367904779961759,0,0.0590288514175313,0,0.000054108123256766,0.000136011223652072,0.00290978837592262,,,,,,,,,,,,,,
AL,Talladega,1121,0.235126753691468,,0.00548943172207143,0.0475317231733152,0.0182469668280072,0,0.116790847357641,0,0.0102778062432762,0.0258351631190054,0.0109548152481513,,,,,,,,,,,,,,
AL,Tallapoosa,1123,0.146057529526614,,0.0126356001105144,0.0329565763500086,0.00948565839262442,0,0.0691505334805027,0,0.00400832815808748,0.0100756762251443,0.00774515680973194,,,,,,,,,,,,,,
