,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
units: tonnes of carbon per person,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Per Capita,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mean,11.1334374775941,,0.270139705229252,2.022816045487,0.375382160311945,5.4370893978334,2.08834635463367,0.0698457619454412,0.09242726088524,0.301769927964434,0.475620863304202,2.95816440678755,,,,,,,,,,,,,,
,,Max,744.889124435646,,107.958968958254,641.11958707998,2.31232306349639,739.340849482983,56.6825687715886,14.6628971646529,13.3873684939489,66.0962217392201,41.9787225043918,98.6612912759804,,,,,,,,,,,,,,
,,Min,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,County,Pop 2000,Total,,Commercial,Industrial,Residential,Electricity Prod,Onroad,Cement,Aircraft,Unknown,Nonroad,Transport,,,,,,,,,,,,,,
AL,Autauga County,43671,5.86582916325527,,0.0687117586803881,0.101527344528894,0.232385317642058,3.56090660552252,1.71190736926821,0,0.0223445721066558,0.0561672334201243,0.111878962086525,1.90229813688152,,,,,,,,,,,,,,
AL,Baldwin County,140415,3.20500845532712,,0.109305838622696,0.0846325308586924,0.227528835064243,0,1.98489428269149,0,0.127066885075186,0.319406086461739,0.352173996553073,2.78354125078148,,,,,,,,,,,,,,
AL,Barbour County,29038,3.42207911676604,,0.0655890894082371,0.294629655190945,0.216389794490624,0,1.96785387401479,0,0.188338059376537,0.473422421956051,0.215856222329688,2.84547057767707,,,,,,,,,,,,,,
AL,Bibb County,20826,2.20613997961394,,0.0369139571345282,0.0778864101272045,0.221568766116634,0,1.71639744081208,0,0.0182589007116698,0.0458971041259514,0.0892174005857793,1.86977084623548,,,,,,,,,,,,,,
AL,Blount County,51024,2.24945617266551,,0.0382449545531178,0.177552730925986,0.218762052676017,0,1.7129336889793,0,0.0058408613096164,0.0146820950449935,0.0814397891769311,1.81489643451084,,,,,,,,,,,,,,
AL,Bullock County,11714,2.67543611900317,,0.0411858835596198,0.29853026846459,0.227595684793313,0,1.98997561005067,0,0,0,0.118148672134958,2.10812428218563,,,,,,,,,,,,,,
AL,Butler County,21399,4.5801070271274,,0.0772923522982649,0.150067154105651,0.236214973015324,0,3.86318330770089,0,0.0248073251974097,0.0623577801194514,0.166184134689991,4.11653254770774,,,,,,,,,,,,,,
AL,Calhoun County,112249,4.1600621702764,,0.112041936874088,0.412305155992613,0.244346586228357,0,3.09222352565659,0,0.0449909462703497,0.113093047369537,0.141060971883962,3.39136849118044,,,,,,,,,,,,,,
AL,Chambers County,36583,2.30837555020399,,0.0664387402249813,0.306400753046874,0.233992620474287,0,1.55886658421032,0,0.00969428243048908,0.0243684044819907,0.108614165334974,1.70154343645778,,,,,,,,,,,,,,
AL,Cherokee County,23988,2.58736281090675,,0.0357780283762769,0.0735172779866404,0.215104361584371,0,1.86477103320502,0,0.0241547318711258,0.0607173893432462,0.313319988539482,2.26296314295887,,,,,,,,,,,,,,
AL,Chilton County,39593,4.35751997941146,,0.0489778497729311,1.35798002133439,0.223591207779599,0,2.39506924969946,0,0.0648705108604685,0.16306403685034,0.103967103116296,2.72697090052656,,,,,,,,,,,,,,
AL,Choctaw County,15922,3.66624220966477,,0.0430935324692742,1.25550555559632,0.229159315606117,0,1.78490359425701,0,0.0129459982310845,0.0325421755976009,0.308092037905909,2.1384838059916,,,,,,,,,,,,,,
AL,Clarke County,27867,2.79833956405737,,0.0744289039788144,0.557641558202634,0.242736313227858,0.0239864828482677,1.62190719935066,0,0.0155717716269574,0.0391425203354972,0.222924814486542,1.89954630579966,,,,,,,,,,,,,,
AL,Clay County,14254,2.68995055890811,,0.0466645528768687,0.353352018886915,0.231207689152622,0,1.81286208220521,0,0.0223034798328063,0.056064072686955,0.167496663267397,2.05872629799237,,,,,,,,,,,,,,
AL,Cleburne County,14123,4.92048724063591,,0.02604370817733,0.213385220714153,0.240568880337927,0,4.34654299879737,0,0,0,0.0939464326091071,4.44048943140648,,,,,,,,,,,,,,
AL,Coffee County,43615,3.01415288150148,,0.0836139733661096,0.244103215311874,0.227561645313236,0,1.59195816570945,0,0.203444239405138,0.511394652733112,0.152076989663081,2.45887404751078,,,,,,,,,,,,,,
AL,Colbert County,54984,35.8428905986765,,0.121084808248318,0.638543877352173,0.225347320165026,32.613659459749,1.67740761925268,0,0.0958563727091667,0.240952691577406,0.230038449623169,2.24425513316242,,,,,,,,,,,,,,
AL,Conecuh County,14089,13.1429157603407,,0.0479425493223131,0.116148752351156,0.228846615956965,0.02018871875396,4.43831629104335,0,2.30326754305741,5.78968859866698,0.19851669118862,12.7297891239564,,,,,,,,,,,,,,
AL,Coosa County,12202,3.76646374301434,,0.0171515284603666,0.721026140447037,0.225947296694924,0,2.5834175009232,0,0,0,0.218921276488819,2.80233877741202,,,,,,,,,,,,,,
